"LoanOriginalAmount","DebtToIncomeRatio","credit_and_prosper_grade","BankcardUtilization"
9425,0.17,"C",0
10000,0.18,"A",0.21
3001,0.06,"HR",NA
10000,0.15,"A",0.04
15000,0.26,"D",0.81
15000,0.36,"B",0.39
3000,0.27,"E",0.72
10000,0.24,"C",0.13
10000,0.25,"AA",0.11
10000,0.25,"AA",0.11
13500,0.12,"C",0.51
1000,0.27,"C",0.32
4000,0.18,"B",0.7
8500,0.09,"A",0.32
19330,0.2,"A",0.43
4000,0.49,"HR",0.97
4000,0.15,"E",1
10000,0.12,"AA",NA
15000,0.24,"A",0.54
6500,0.41,"D",0.6
14000,0.2,"B",0.95
3000,0.09,"D",0.08
4000,9.2,"HR",0.4
2000,0.39,"D",0.84
4000,0.16,"C",0.17
4000,0.12,"E",0.07
4000,0.11,"E",0.3
4000,0.26,"A",0.09
10000,0.12,"C",0.31
35000,0.32,"A",0.34
10000,0.11,"A",0.13
2000,0.04,"HR",0
25000,0.22,"B",0.8
16000,0.05,"AA",0.01
10000,0.17,"C",0.91
9000,0.2,"B",0.58
10000,0.14,"E",0.55
5000,0.31,"D",0.93
7000,0.14,"AA",0.1
10000,0.06,"B",NA
15000,NA,"C",0.46
13000,0.08,"B",0.69
1500,0.27,"HR",NA
5000,0.1,"C",0.74
16000,0.19,"C",0.91
25000,0.13,"A",0.63
4000,0.27,"C",0.68
15000,0.35,"A",0.84
15000,0.25,"B",0.97
25000,0.21,"A",0.36
10000,0.12,"D",0.37
2500,0.11,"B",0.91
7000,0.28,"A",0.61
3000,0.17,"E",0.87
18000,0.16,"B",0.45
10000,0.22,"B",0.57
15000,0.37,"C",0.91
2000,0.15,"D",0.59
8000,0.25,"B",0.32
7000,0.37,"C",0.41
25000,0.29,"C",0.89
2000,0.03,"B",0.19
23500,0.59,"D",0.89
6000,0.25,"D",NA
5000,0.42,"E",0.81
15000,0.21,"C",0.68
1000,0.2,"D",0.07
3000,0.28,"E",0.94
1000,0.45,"E",0.9
9000,NA,"A",0.79
10000,0.17,"C",0.76
2774,0.53,"HR",0.39
4500,0.1,"D",0.63
4000,0.11,"D",0.86
2500,0.21,"E",0.19
4000,0.26,"E",0.53
2200,0.13,"E",NA
5600,0.18,"B",0.48
4800,NA,"A",0.73
22500,0.23,"C",0.45
4000,0.31,"D",0.97
